,Season,Team,Matches Played,Total points scored,Total points conceded,Avg points scored,Successful raids,Raid points,Avg raid points,Successful tackles,Tackle points,Avg tackle points,Super raids,Super tackles,Do-or-Die raid points,All-outs inflicted,All-outs conceded
0,Season 1,Puneri Paltan,14,536,536,26.85,204,269,19.21,93,107,7.64,11,14,48,12,26
1,Season 1,Bengal Warriors,14,515,515,28.92,213,283,20.21,106,122,8.71,11,16,30,11,25
2,Season 1,Dabang Delhi K.C.,14,471,471,29.92,246,285,20.36,124,134,9.57,5,10,31,18,23
3,Season 1,U Mumba,16,499,499,31.5,270,347,21.69,145,157,9.81,12,12,40,21,19
4,Season 1,Patna Pirates,16,487,487,28.62,253,316,19.75,124,142,8.88,13,18,42,18,17
5,Season 1,Jaipur Pink Panthers,16,458,458,32.12,270,344,21.5,158,170,10.63,9,12,50,29,15
6,Season 1,Bengaluru Bulls,16,479,479,28.37,225,291,18.19,153,163,10.19,7,10,40,20,15
7,Season 1,Telugu Titans,14,474,474,31.42,272,336,24,96,104,7.43,8,8,31,25,14
8,Season 2,Patna Pirates,16,444,489,24.5,182,228,14.25,152,164,10.25,4,13,60,13,21
9,Season 2,Puneri Paltan,14,391,465,24.07,170,223,15.93,104,114,8.14,8,11,56,12,21
10,Season 2,Dabang Delhi K.C.,14,396,464,25.21,159,217,15.5,122,136,9.71,14,14,61,13,20
11,Season 2,Bengal Warriors,14,367,430,22.85,134,184,13.14,116,136,9.71,9,21,59,10,17
12,Season 2,Bengaluru Bulls,16,508,457,26,194,252,15.75,158,164,10.25,10,7,80,25,16
13,Season 2,Telugu Titans,16,586,493,32.25,265,344,21.5,158,172,10.75,16,16,66,26,15
14,Season 2,U Mumba,16,489,426,27.06,187,237,14.81,180,196,12.25,7,16,81,20,14
15,Season 2,Jaipur Pink Panthers,14,442,399,26.71,183,232,16.57,124,142,10.14,5,18,47,17,12
16,Season 3,Dabang Delhi K.C.,14,384,525,24.57,171,233,16.64,98,111,7.93,5,13,54,9,28
17,Season 3,Jaipur Pink Panthers,14,364,427,22.14,149,193,13.79,101,117,8.36,8,16,59,11,22
18,Season 3,Bengaluru Bulls,14,362,467,22.07,158,209,14.93,94,100,7.14,9,7,69,12,21
19,Season 3,Bengal Warriors,16,460,449,25,213,250,15.63,137,150,9.38,4,13,70,17,18
20,Season 3,Telugu Titans,14,427,437,26.42,206,254,18.14,101,116,8.29,3,15,44,13,17
21,Season 3,Patna Pirates,16,594,468,31.62,241,324,20.25,175,182,11.38,16,7,74,30,13
22,Season 3,Puneri Paltan,16,510,433,27.37,203,251,15.69,174,187,11.69,9,13,87,25,13
23,Season 3,U Mumba,16,502,397,26.37,206,253,15.81,163,169,10.56,7,6,59,27,12
24,Season 4,Bengaluru Bulls,14,360,415,23.21,157,201,14.36,109,124,8.86,4,15,59,9,21
25,Season 4,U Mumba,14,399,418,24.85,188,227,16.21,110,121,8.64,4,11,42,15,21
26,Season 4,Puneri Paltan,16,515,491,27.25,230,290,18.13,140,146,9.13,10,7,77,21,17
27,Season 4,Dabang Delhi K.C.,14,419,412,25.71,162,226,16.14,116,134,9.57,11,20,84,15,16
28,Season 4,Bengal Warriors,14,378,438,23.35,167,202,14.43,117,125,8.93,4,8,62,11,15
29,Season 4,Jaipur Pink Panthers,16,475,450,25.31,203,270,16.88,119,135,8.44,6,17,80,17,14
30,Season 4,Telugu Titans,16,506,454,26.81,206,267,16.69,157,162,10.13,7,5,76,22,13
31,Season 4,Patna Pirates,16,492,466,27.18,206,264,16.5,145,171,10.69,7,27,73,19,12
32,Season 5,U Mumba,22,707,757,28.22,322,419,19.05,176,202,9.18,10,26,78,21,36
33,Season 5,Dabang Delhi K.C.,22,598,731,23.31,283,344,15.64,159,169,7.68,6,12,94,18,35
34,Season 5,U.P. Yoddha,23,762,763,28.78,358,461,20.04,183,201,8.74,23,19,83,23,32
35,Season 5,Tamil Thalaivas,22,681,752,27.77,351,410,18.64,184,201,9.14,5,17,89,19,31
36,Season 5,Bengal Warriors,24,749,757,27,379,455,18.96,181,193,8.04,11,12,87,27,29
37,Season 5,Patna Pirates,26,1050,921,34.19,487,637,24.5,226,252,9.69,26,27,95,55,29
38,Season 5,Jaipur Pink Panthers,22,631,723,23.81,288,353,16.05,162,171,7.77,13,10,83,22,27
39,Season 5,Telugu Titans,22,696,698,27.59,332,400,18.18,191,207,9.41,10,17,88,25,26
40,Season 5,Bengaluru Bulls,22,689,679,26.95,336,393,17.86,185,200,9.09,5,17,93,28,25
41,Season 5,Haryana Steelers,23,727,726,27.43,327,404,17.57,206,227,9.87,12,21,105,27,23
42,Season 5,Puneri Paltan,24,766,683,27.08,304,379,15.79,252,271,11.29,12,21,119,32,23
43,Season 5,Gujarat Fortunegiants,24,775,641,27.45,335,405,16.88,242,254,10.58,11,12,98,36,17
44,Season 6,Haryana Steelers,22,715,806,29.09,361,447,20.32,180,193,8.77,12,15,45,16,33
45,Season 6,Jaipur Pink Panthers,22,711,780,29.09,334,415,18.86,202,225,10.23,13,25,75,22,32
46,Season 6,Patna Pirates,22,799,835,31.68,406,496,22.55,186,201,9.14,11,16,54,30,30
47,Season 6,U.P. Yoddha,25,812,847,28.56,357,449,17.96,240,265,10.6,10,27,86,26,30
48,Season 6,Puneri Paltan,22,649,694,25.68,286,346,15.73,189,219,9.95,7,34,71,14,29
49,Season 6,Dabang Delhi K.C.,24,822,824,29.12,401,483,20.13,198,216,9,13,19,73,34,28
50,Season 6,Tamil Thalaivas,22,671,741,27.63,344,419,19.05,174,189,8.59,7,15,67,20,27
51,Season 6,Telugu Titans,22,647,702,26.63,289,353,16.05,202,233,10.59,9,33,85,18,25
52,Season 6,Bengaluru Bulls,24,887,766,32.37,431,547,22.79,219,230,9.58,20,12,73,37,24
53,Season 6,Bengal Warriors,23,725,734,27.65,340,436,18.96,186,200,8.7,16,16,85,23,23
54,Season 6,Gujarat Fortunegiants,25,876,769,30.16,392,480,19.2,258,274,10.96,10,18,74,36,20
55,Season 6,U Mumba,23,856,672,32.52,372,459,19.96,274,289,12.57,15,15,89,41,16
